test_date,train_end,calib_start,calib_end,best_alpha,forecast,realized,calib_error,hist_mean_expand,SSE_forecast,SSE_hist,row_num,Cum_SSE_forecast,Cum_SSE_hist,RMSE_forecast,RMSE_hist,RMSE_diff,Cum_RMSE_diff,R_Sq_OOS
2007-10-31,2002-09-30,2002-10-31,2007-09-30,14.849682622544636,0.8587478016500881,1.4831841851104237,0.38667582360529323,-0.016703030215485557,0.38992079698902327,2.2496616586981104,142,101.18265690036394,208.26821099758547,0.05240153724421166,0.1258677390649035,0.07346620182069184,7.649557518195019,0.5141713830655751
2007-11-30,2002-10-31,2002-11-30,2007-10-31,7.054802310718638,-0.7104731192565062,-0.42998257629437936,0.390649474907992,-0.01778491384396434,0.07867494469118876,0.16990691292958626,143,101.26133184505512,208.43811791051507,0.023455797543462924,0.03446970017677594,0.011013902633313016,7.660571420828331,0.514189953065457
2007-12-31,2002-11-30,2002-12-31,2007-11-30,3.351602650938841,0.8893946747979243,1.2573433302152868,0.38376471208928115,-0.014455597279840967,0.13538621302344492,1.6174725119777573,144,101.39671805807856,210.05559042249283,0.03066238795144687,0.10598324395792733,0.07532085600648046,7.735892276834813,0.5172862676297476
2008-01-31,2002-12-31,2003-01-31,2007-12-31,14.849682622544636,0.8705864010068246,1.652340942970943,0.3289876070359073,-0.01011498128960455,0.6111401638815286,2.763759700108992,145,102.00785822196009,212.8193501226018,0.06492118106525091,0.13805944996590996,0.07313826890065905,7.809030545735471,0.5206833487500314
2008-02-29,2003-01-31,2003-02-28,2008-01-31,14.849682622544636,0.8778444644254713,0.9939421694119868,0.33044475974975823,-0.007507040638431585,0.013478677103135987,1.0029005203106072,146,102.02133689906323,213.82225064291242,0.009608314430006072,0.0828805263373916,0.07327221190738553,7.882302757642857,0.5228684732654836
2008-03-31,2003-02-28,2003-03-31,2008-02-29,17.886495290574334,-0.6784093573395518,-1.1701305432097646,0.3282660117709417,-0.01051901862436768,0.24178972463360843,1.3446988879512685,147,102.26312662369683,215.1669495308637,0.040556479861201346,0.09564314655353874,0.055086666692337395,7.937389424335194,0.5247266048681508
2008-04-30,2003-03-31,2003-04-30,2008-03-31,14.849682622544636,-0.6897568931227934,-0.9712428124009127,0.33148661122474354,-0.013001509047562889,0.07923432275184789,0.9182263954523265,148,102.34236094644868,216.08517592631603,0.02313800003502018,0.07876694993272819,0.05562894989770801,7.993018374232902,0.5263795375701898
2008-05-31,2003-04-30,2003-05-31,2008-04-30,8.497534359086439,0.887521724351555,0.3235047713259821,0.32659436234598366,-0.012134224819796018,0.31811512330025127,0.11265353573374567,149,102.66047606974894,216.19782946204975,0.04620606916324375,0.027496617941358863,-0.018709451221884884,7.974308923011018,0.5251549179508788
2008-06-30,2003-05-31,2003-06-30,2008-05-31,14.849682622544636,0.8017642368201622,0.6541502459478872,0.32213665780335327,-0.010421411270264701,0.021789890301240088,0.4416554875776808,150,102.68226596005017,216.63948494962744,0.01205263188443091,0.05426204859000938,0.04220941670557847,8.016518339716596,0.5260223869904157
2008-07-31,2003-06-30,2003-07-31,2008-06-30,17.886495290574334,-0.7583100560636088,-0.2561661980117198,0.3209971201286131,-0.011051526108063304,0.25214845417923565,0.060081202382437165,151,102.93441441422941,216.69956615200988,0.04086388763254506,0.0199471491070675,-0.020916738525477558,7.995601601191118,0.5249902145995843
2008-08-31,2003-07-31,2003-08-31,2008-07-31,21.54434690031882,-0.6782852163758426,-1.405365072275337,0.3244446037052214,-0.014617545407723849,0.5286451168548296,1.9341786834883827,152,103.46305953108424,218.63374483549825,0.05897396374978302,0.11280452012127878,0.053830556371495766,8.049432157562613,0.5267745168572644
2008-09-30,2003-08-31,2003-09-30,2008-08-31,21.54434690031882,0.8584925142079189,0.7236064120073765,0.32877730169618885,-0.01273432102656288,0.018194260566855174,0.5421976751249593,153,103.4812537916511,219.17594251062323,0.010904895035307748,0.05952961997536604,0.04862472494005829,8.098056882502672,0.5278621704266859
2008-10-31,2003-09-30,2003-10-31,2008-09-30,17.886495290574334,-0.751396109067234,-2.2066491928064833,0.32784273059613406,-0.01831680161633367,2.1177615377325942,4.788798654331997,154,105.59901532938369,223.96474116495523,0.11726763533458368,0.17634084937415942,0.059073214039575744,8.157130096542248,0.5285016079758396
2008-11-30,2003-10-31,2003-11-30,2008-10-31,2.310129700083158,0.8087328563419205,1.109507493860282,0.3494559248947418,-0.015454303404464086,0.09046538257430177,1.2655390453051276,155,105.689480711958,225.23028021026033,0.02415880024983907,0.09035910598399383,0.06620030573415475,8.223330402276403,0.5307492375656897
2008-12-31,2003-11-30,2003-12-31,2008-11-30,0.0001,0.791189728876049,0.6748622389039646,0.3508101597207347,-0.013706666588493382,0.0135320849232054,0.4741271376110815,156,105.7030127968812,225.70440734787144,0.009313653103004832,0.055129633802048404,0.04581598069904357,8.269146382975446,0.5316750167223615
