Date,GC1_Monthly_Return,GC2_Monthly_Return,GC1_volatility,GC2_volatility,GC2_OPEN_INT,GC2_1M_Sign,GC1_1M_Sign,GC2_3M_Ret,GC1_3M_Ret,GC2_3M_Sign,GC1_3M_Sign,GC2_6M_Ret,GC1_6M_Ret,GC2_6M_Sign,GC1_6M_Sign,GC2_12M_Ret,GC1_12M_Ret,GC2_12M_Sign,GC1_12M_Sign,GC2_3M_Fwd_Ret,GC1_3M_Fwd_Ret,GC2_3M_Fwd_Sign,GC1_3M_Fwd_Sign,GC2_6M_Fwd_Ret,GC1_6M_Fwd_Ret,GC2_6M_Fwd_Sign,GC1_6M_Fwd_Sign,GC2_12M_Fwd_Ret,GC1_12M_Fwd_Ret,GC2_12M_Fwd_Sign,GC1_12M_Fwd_Sign,GC1_OPEN_INT,GC1_sharpe,GC2_sharpe
1976-11-30,0.06033946713469085,0.06463907923509637,0.25831832900577717,0.28274453359764007,,1.0,1.0,0.2506682247042997,0.24622146941387602,1.0,1.0,0.040790572188400986,0.04272494466634136,1.0,1.0,-0.04569697032094222,-0.04316148300606937,-1.0,-1.0,0.07514180143424554,0.07168174373862524,1.0,1.0,0.18325970602847885,0.17854488928098622,1.0,1.0,0.281427638666929,0.27324061130301924,1.0,1.0,,2.8030283735696377,2.7433561347819833
1976-12-31,0.031439693115413725,0.030451665978142195,0.25647360397632646,0.2658376700617278,,1.0,1.0,0.1633368550260581,0.15944593646272942,1.0,1.0,0.09027532659837245,0.09097173995608632,1.0,1.0,-0.040148761365902175,-0.03831334564493538,-1.0,-1.0,0.09626954395657439,0.09496449960062048,1.0,1.0,0.08455738802806323,0.08732818358185668,1.0,1.0,0.20210939676878326,0.19741616428984798,1.0,1.0,,1.4710142156375234,1.3745982337749778
1977-01-31,-0.020097416511479338,-0.019948943778993034,0.2558579618750619,0.2540664676260275,,-1.0,-1.0,0.07514180143424554,0.07168174373862524,1.0,1.0,0.16956741682883614,0.1709578159848526,1.0,1.0,0.03802739558923918,0.03675760713612064,1.0,1.0,0.09949109308502013,0.0968498480975084,1.0,1.0,0.05756473622171221,0.056585153663619714,1.0,1.0,0.21683253014734305,0.21173010620684263,1.0,1.0,,-0.9425893818989983,-0.9422232205010302
1977-02-28,0.08362222299668609,0.08576682175742523,0.21095946124178905,0.20973337132676068,,1.0,1.0,0.09626954395657439,0.09496449960062048,1.0,1.0,0.3469377686608741,0.3411859690144965,1.0,1.0,0.09325749348658263,0.08663422821781008,1.0,1.0,0.10811790459423332,0.10686314554236098,1.0,1.0,0.08439601962364662,0.08707407301918035,1.0,1.0,0.28898719056376265,0.28353819392319046,1.0,1.0,,4.756680122585827,4.9071917100194105
1977-03-31,0.033325041612301654,0.03367321510658794,0.1946098136283064,0.1920528127838986,,1.0,1.0,0.09949109308502013,0.0968498480975084,1.0,1.0,0.26282794811107824,0.2562957845602378,1.0,1.0,0.1520557454925262,0.1467090485025455,1.0,1.0,-0.011712155928511159,-0.0076363160187638,-1.0,-1.0,0.014281099565416788,0.014418313480597966,1.0,1.0,0.24803661157170787,0.24313592736609202,1.0,1.0,,2.0548835225309188,2.103997204840379
1977-04-30,-0.010084119066626762,-0.01132213226977985,0.18709605694039463,0.18621156882564244,,-1.0,-1.0,0.10811790459423332,0.10686314554236098,1.0,1.0,0.18325970602847885,0.17854488928098622,1.0,1.0,0.13765431902668457,0.1381754103666859,1.0,1.0,-0.04192635686330792,-0.04026469443388869,-1.0,-1.0,0.035136991296286446,0.0335447821324113,1.0,1.0,0.20954152802804238,0.20818272799927318,1.0,1.0,,-0.6467770127195814,-0.7296302162868019
1977-05-31,-0.03087723856443869,-0.03406323876531925,0.1603779794784592,0.15681289905525284,,-1.0,-1.0,-0.011712155928511159,-0.0076363160187638,-1.0,-1.0,0.08455738802806323,0.08732818358185668,1.0,1.0,0.12534796021646422,0.13005312824819804,1.0,1.0,-0.023721884970586693,-0.01978907252318063,-1.0,-1.0,0.09816793263845014,0.09469572202203302,1.0,1.0,0.14559828060748803,0.1421093964634519,1.0,1.0,,-2.3103350221657504,-2.6066660819771292
1977-06-30,0.0006966631971767612,0.003459014171791175,0.15426811782481734,0.15127719072305926,,1.0,1.0,-0.04192635686330792,-0.04026469443388869,-1.0,-1.0,0.05756473622171221,0.056585153663619714,1.0,1.0,0.14784006282008466,0.14755689361970603,1.0,1.0,0.025993255493927947,0.022054629499361766,1.0,1.0,0.11755200874072003,0.1100879807079913,1.0,1.0,0.25921415107476165,0.2502298457539096,1.0,1.0,,0.05419109589198771,0.274384855133134
1977-07-31,0.010391502844081302,0.00688233962294138,0.15151952201066218,0.15133355386145952,,1.0,1.0,-0.023721884970586693,-0.01978907252318063,-1.0,-1.0,0.08439601962364662,0.08707407301918035,1.0,1.0,0.25396343645248276,0.25803188900403295,1.0,1.0,0.07706334815959437,0.07380947656629999,1.0,1.0,0.15926779392563084,0.1551449525432229,1.0,1.0,0.25200479765592654,0.24627227749325264,1.0,1.0,,0.8229832860758419,0.5457353862904918
1977-08-31,0.010966463458103703,0.015651901699195392,0.13516261175627145,0.13462805322068194,,1.0,1.0,0.025993255493927947,0.022054629499361766,1.0,1.0,0.014281099565416788,0.014418313480597966,1.0,1.0,0.3612188682262909,0.35560428249509446,1.0,1.0,0.12188981760903683,0.11448479454521365,1.0,1.0,0.20459117094011603,0.1964641209040101,1.0,1.0,0.34854873711098033,0.338734112904981,1.0,1.0,,0.9736239910378797,1.3951239425743314
