test_date,train_end,calib_start,calib_end,best_alpha,forecast,realized,calib_error,hist_mean,SSE_forecast,SSE_hist,row_num,Cum_SSE_forecast,Cum_SSE_hist,RMSE_forecast,RMSE_hist,RMSE_diff,Cum_RMSE_diff,R_Sq_OOS
2017-10-31,2012-09-30,2012-10-31,2017-09-30,12.32846739442066,-0.7139081654433442,-0.29149324959475853,0.3483216296771348,-0.03994119225842879,0.17843436113136774,0.06327843755014012,262,149.16850201429858,298.98162329067804,0.026096880654413786,0.015540938002841669,-0.010555942651572118,8.73424910585125,0.5010780248882624
2017-11-30,2012-10-31,2012-11-30,2017-10-31,14.849682622544636,0.865707468542464,0.030005749302473957,0.35094110587394367,0.14547910574632897,0.6983973635406753,0.01333409604840959,263,149.86689937783925,298.99495738672647,0.051531575596178124,0.007120392192494836,-0.04441118340368329,8.689837922447568,0.4987644584788158
2017-12-31,2012-11-30,2012-12-31,2017-11-30,21.54434690031882,0.8297116852233969,0.9243650020413823,0.35817333890677877,0.25652215206508017,0.008959250384645916,0.4460140722644695,264,149.87585862822388,299.44097145899093,0.005825508946632486,0.04110288607173492,0.035277377125102434,8.72511529957267,0.4994811234482329
2018-01-31,2012-12-31,2013-01-31,2017-12-31,17.886495290574334,0.7745803484557117,0.6850221503133592,0.35810691463720273,0.22074148016679276,0.00802067085450486,0.21555654067174487,265,149.8838792990784,299.65652799966267,0.005501516379129454,0.02852053485114302,0.023019018472013566,8.748134318044682,0.49981440317813763
2018-02-28,2013-01-31,2013-02-28,2018-01-31,17.886495290574334,-0.7023150528804695,-0.5379095308445655,0.3558725654544569,0.10308911336128262,0.027029175675898107,0.4108792618737355,266,149.9109084747543,300.0674072615364,0.010080349318877515,0.03930214853191324,0.02922179921303572,8.77735611725772,0.5004092252375376
2018-03-31,2013-02-28,2013-03-31,2018-02-28,25.950242113997348,0.8630579748256614,0.05895340782024362,0.35016886117533447,0.11989404872788152,0.6465841546789703,0.00371376171423367,267,150.55749262943326,300.07112102325067,0.04921040033031941,0.00372950665685113,-0.04548089367346828,8.73187522358425,0.49826063862450964
2018-04-30,2013-03-31,2013-04-30,2018-03-31,25.950242113997348,-0.6987996791058119,-0.0791672166818437,0.3557576804518366,0.07564033664976334,0.38394438848959034,0.023965378568518363,268,150.94143701792285,300.0950864018192,0.03785007681973268,0.00945637638634076,-0.02839370043339192,8.703481523150858,0.49702129805678874
2018-05-31,2013-04-30,2013-05-31,2018-04-30,45.34878508128582,-0.6588091881978777,-0.506842508720509,0.3263617415736058,0.02730276057208893,0.023093871671377327,0.2853111687076619,269,150.96453088959424,300.38039757052684,0.009265571976794784,0.032567411854465364,0.02330183987767058,8.72678336302853,0.49742216166369835
2018-06-30,2013-05-31,2013-06-30,2018-05-31,45.34878508128582,-0.7442055080002373,-1.1328839665204438,0.32660028172571987,-0.004670377887545781,0.15107094411764382,1.2728659015759218,270,151.11560183371188,301.65326347210276,0.02365421770531701,0.06866089246423247,0.04500667475891546,8.771790037787445,0.49904204551167664
2018-07-31,2013-06-30,2013-07-31,2018-06-30,54.62277217684337,-0.7336298682647113,-0.9054635122134869,0.3181067942295552,-0.12816372721086633,0.029526801192714565,0.6041949557651201,271,151.14512863490458,302.25745842786785,0.010438150504326725,0.047217599280248365,0.03677944877592164,8.808569486563366,0.4999457435358057
